Posição,Sexo,Categoria,Posição na Categoria,Tempo Final,Tempo Bruto  ,Ritmo,Velocidade
340.,Masculino,25-34,64,0:57:58.47,1:05:11.60,5:48,
341.,Masculino,50-54,21,0:57:59.63,1:03:54.78,5:48,
342.,Masculino,35-39,56,0:57:59.74,1:03:27.62,5:48,
343.,Feminino,25-34,20,0:58:03.26,0:58:51.19,5:48,
344.,Masculino,55-59,15,0:58:03.56,1:03:39.98,5:48,
345.,Masculino,35-39,57,0:58:03.79,1:02:10.99,5:48,
346.,Masculino,40-44,34,0:58:07.07,1:03:02.20,5:49,
347.,Masculino,35-39,58,0:58:11.57,1:06:55.50,5:49,
348.,Masculino,25-34,65,0:58:12.50,1:02:58.77,5:49,
349.,Masculino,25-34,66,0:58:13.21,1:06:50.31,5:49,
350.,Masculino,45-49,33,0:58:13.74,1:01:21.32,5:49,
351.,Masculino,45-49,34,0:58:15.02,1:00:03.57,5:49,
352.,Masculino,35-39,59,0:58:16.31,1:03:03.83,5:50,
353.,Masculino,35-39,60,0:58:16.62,1:03:03.59,5:50,
354.,Feminino,10K-PRFF,1,0:58:17.38,1:00:33.21,5:50,
355.,Masculino,40-44,35,0:58:17.72,1:00:58.55,5:50,
356.,Masculino,35-39,61,0:58:27.61,1:00:40.18,5:51,
357.,Masculino,18-24,10,0:58:27.77,0:58:59.62,5:51,
358.,Masculino,35-39,62,0:58:28.07,0:58:28.07,5:51,
359.,Masculino,50-54,22,0:58:28.24,1:04:24.77,5:51,
360.,Masculino,35-39,63,0:58:32.07,1:01:13.15,5:51,
361.,Masculino,35-39,64,0:58:33.10,1:04:11.88,5:52,
362.,Feminino,35-39,19,0:58:33.11,1:00:49.89,5:52,
363.,Masculino,45-49,35,0:58:33.35,1:03:06.70,5:52,
364.,Feminino,40-44,12,0:58:34.99,1:00:47.55,5:52,
365.,Masculino,40-44,36,0:58:35.10,1:05:16.33,5:52,
366.,Feminino,40-44,13,0:58:36.18,1:01:44.06,5:52,
367.,Masculino,18-24,11,0:58:37.73,1:02:23.28,5:52,
368.,Masculino,25-34,67,0:58:37.91,1:02:34.09,5:52,
369.,Masculino,70-74,1,0:58:39.10,0:58:58.49,5:52,
370.,Masculino,60-64,21,0:58:42.46,0:58:58.72,5:52,
371.,Feminino,50-54,4,0:58:44.40,0:58:55.87,5:52,
372.,Masculino,50-54,23,0:58:44.72,1:01:03.33,5:52,
373.,Feminino,35-39,20,0:58:47.70,1:02:54.16,5:53,
374.,Feminino,25-34,21,0:58:50.40,1:03:58.25,5:53,
375.,Feminino,35-39,21,0:58:51.40,1:03:32.62,5:53,
376.,Masculino,18-24,12,0:58:51.50,0:59:49.11,5:53,
377.,Masculino,35-39,65,0:58:51.77,0:59:50.36,5:53,
378.,Feminino,18-24,3,0:58:53.15,0:59:24.42,5:53,
379.,Feminino,50-54,5,0:58:53.48,1:04:49.48,5:53,
380.,Feminino,25-34,22,0:58:54.11,1:04:23.72,5:53,
381.,Feminino,25-34,23,0:58:55.59,0:59:19.47,5:53,
382.,Masculino,40-44,37,0:58:56.28,1:02:07.48,5:53,
383.,Masculino,35-39,66,0:58:59.24,1:03:45.96,5:54,
384.,Masculino,50-54,24,0:58:59.54,1:01:39.69,5:54,
385.,Feminino,25-34,24,0:59:00.01,1:06:20.57,5:54,
386.,Masculino,55-59,16,0:59:00.05,1:00:15.43,5:54,
387.,Masculino,25-34,68,0:59:08.43,1:00:25.16,5:55,
388.,Masculino,25-34,69,0:59:09.65,1:04:13.03,5:55,
389.,Feminino,25-34,25,0:59:10.44,1:06:43.59,5:55,
390.,Masculino,45-49,36,0:59:11.79,1:00:53.69,5:55,
391.,Masculino,40-44,38,0:59:11.91,1:01:05.14,5:55,
392.,Masculino,45-49,37,0:59:12.61,0:59:59.50,5:55,
