Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
8.2,5.3,4.4,6.0,APRN,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,3.0,3.0,3.0,0.0,Sim,10.0,5,Ensino médio convencional particular
9.0,2.0,0.7,3.9,REC,1.0,3,3.0,3,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,Sim,14.0,8,Ensino médio convencional particular
7.4,9.3,5.6,7.4,APR,3.0,3,3.0,3,1.0,0.0,1,0.0,0.0,3.0,3.0,1.0,3.0,Sim,4.0,10,Ensino médio convencional público
9.8,8.9,3.4,7.4,APR,5.0,5,5.0,3,3.0,5.0,1,1.0,1.0,3.0,3.0,1.0,1.0,Sim,2.0,8,Ensino médio convencional particular
10.0,9.6,8.9,9.5,APR,0.0,1,0.0,0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,0.0,Sim,3.0,10,Ensino médio convencional particular
1.8,0.0,0.0,0.6,REP,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Sim,8.0,8,Ensino médio convencional particular
0.9,0.0,0.0,0.3,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,5.0,8,Ensino médio convencional público
9.6,9.3,8.8,9.2,APR,3.0,3,3.0,3,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,0.0,Sim,5.0,8,Ensino médio convencional particular
0.5,0.0,0.0,0.2,REP,5.0,1,3.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Não,45.0,10,Técnica pública
9.0,6.0,4.8,6.6,APRN,5.0,5,5.0,5,5.0,1.0,3,1.0,0.0,1.0,3.0,3.0,0.0,Não,5.0,10,Técnica particular
2.3,0.0,0.0,0.8,REP,1.0,1,1.0,1,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Não,12.0,9,Ensino médio convencional particular
1.7,1.3,0.0,1.0,REP,1.0,3,0.0,0,1.0,1.0,1,0.0,0.0,1.0,3.0,1.0,0.0,Sim,4.0,8,Ensino médio convencional particular
0.2,0.0,0.0,0.1,REP,3.0,3,5.0,3,3.0,1.0,3,3.0,1.0,1.0,3.0,3.0,1.0,Não,2.0,10,Técnica pública
10.0,10.0,8.1,9.4,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,7,Ensino médio convencional público
10.0,10.0,8.1,9.4,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,8,Ensino médio convencional público
9.8,10.0,8.1,9.3,APR,0.0,0,0.0,0,0.0,1.0,3,3.0,0.0,0.0,1.0,1.0,1.0,Não,20.0,7,Ensino médio convencional particular
9.8,6.7,4.7,7.1,APR,1.0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Sim,0.0,10,Ensino médio convencional público
9.1,4.7,8.7,7.5,APR,3.0,3,3.0,3,3.0,3.0,3,3.0,3.0,0.0,3.0,3.0,1.0,Sim,35.0,8,Ensino médio convencional particular
9.5,10.0,5.8,8.4,APR,5.0,3,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,Sim,25.0,8,Ensino médio convencional particular
8.0,0.9,0.7,3.2,REC,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Não,4.0,10,Ensino médio convencional público
10.0,8.5,7.6,8.7,APR,5.0,5,5.0,3,3.0,1.0,3,3.0,1.0,1.0,1.0,1.0,1.0,Sim,16.0,10,Técnica pública
0.9,0.0,0.0,0.3,REP,0.0,1,0.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,2.0,4,Ensino médio convencional público
0.9,0.0,0.0,0.3,REP,0.0,1,0.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,6.0,4,Ensino médio convencional público
3.9,0.0,0.0,1.3,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,5,Ensino médio convencional público
9.8,3.4,2.6,5.3,REC,0.0,1,0.0,0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,Não,9.0,7,Técnica pública
5.4,3.7,2.0,3.7,REC,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Não,2.0,10,Ensino médio convencional público
10.0,8.7,6.0,8.2,APR,1.0,3,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Não,2.0,10,Ensino médio convencional público
10.0,8.7,6.0,8.2,APR,3.0,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Não,8.0,10,Ensino médio convencional público
8.4,0.7,2.8,4.0,REC,1.0,1,1.0,1,3.0,1.0,1,0.0,0.0,1.0,1.0,,0.0,Sim,2.0,7,Ensino médio convencional particular
7.0,0.0,0.0,2.3,REP,1.0,1,1.0,1,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,Não,40.0,10,Ensino médio convencional público
9.8,2.0,0.0,3.9,REC,1.0,1,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,Sim,20.0,6,Ensino médio convencional particular
2.1,0.0,0.0,0.7,REP,0.0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,20.0,8,Ensino médio convencional público
9.5,8.3,1.8,6.5,REC,1.0,0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,3.0,8,Ensino médio convencional público
9.6,6.0,5.3,7.0,APR,0.0,1,0.0,0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,0.0,Não,3.0,10,Ensino médio convencional particular
3.7,0.0,0.0,1.2,REP,5.0,5,3.0,1,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,1.0,Sim,4.0,9,Técnica pública
4.4,0.7,0.0,1.7,REP,1.0,3,1.0,1,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,Sim,6.0,10,Ensino médio convencional particular
1.5,0.0,0.0,0.5,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,40.0,8,Ensino médio convencional público
8.9,6.0,7.7,7.5,APR,1.0,1,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,Sim,16.0,10,Ensino médio convencional particular
9.6,8.9,7.3,8.6,APR,3.0,0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,30.0,10,Ensino médio convencional público
10.0,10.0,10.0,10.0,APR,1.0,1,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,20.0,8,Ensino médio convencional particular
9.1,6.0,5.3,6.8,APRN,3.0,3,3.0,3,1.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,Sim,10.0,6,Ensino médio convencional público
1.1,0.0,0.0,0.4,REP,1.0,1,1.0,1,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,Sim,12.0,10,Técnica pública
9.2,9.1,8.2,8.8,APR,5.0,5,3.0,3,3.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,Sim,10.0,8,Ensino médio convencional particular
0.7,0.0,0.0,0.2,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,15.0,8,Ensino médio convencional particular
9.3,1.3,0.0,3.5,REC,1.0,3,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,Sim,5.0,10,Ensino médio convencional particular
8.4,6.4,2.9,5.9,REC,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,10.0,10,Ensino médio convencional público
